시도,군구,총인구수,남자인구수,여자인구수
경기도,중원구,207896,105334,102562
경기도,분당구,484021,234667,249354
경기도,의정부시,464171,228370,235801
경기도,안양시,549659,271606,278053
경기도,만안구,234712,117321,117391
경기도,동안구,314947,154285,160662
경기도,부천시,798999,395747,403252
경기도,광명시,290501,143076,147425
경기도,평택시,572548,299111,273437
경기도,송탄출장소,0,0,0
경기도,안중출장소,0,0,0
경기도,동두천시,92999,46398,46601
경기도,안산시,648849,332725,316124
경기도,상록구,348620,177961,170659
경기도,단원구,300229,154764,145465
경기도,고양시,1078559,526937,551622
경기도,덕양구,485137,238956,246181
경기도,일산동구,299065,145350,153715
경기도,일산서구,294357,142631,151726
경기도,과천시,78532,38605,39927
경기도,구리시,190379,94318,96061
경기도,남양주시,736212,366068,370144
경기도,풍양출장소,0,0,0
경기도,오산시,230165,119696,110469
경기도,시흥시,513928,268455,245473
경기도,군포시,267712,132818,134894
경기도,의왕시,161334,80052,81282
경기도,하남시,323790,161887,161903
경기도,용인시,1077609,534851,542758
경기도,처인구,261898,134598,127300
경기도,기흥구,439877,217063,222814
경기도,수지구,375834,183190,192644
경기도,파주시,487831,247681,240150
경기도,이천시,223948,116438,107510
경기도,안성시,189988,98110,91878
경기도,김포시,485395,242718,242677
경기도,화성시,896147,465868,430279
경기도,화성시동부출장소,0,0,0
경기도,화성시동탄출장소,0,0,0
경기도,광주시,389876,198918,190958
경기도,양주시,237156,120188,116968
경기도,포천시,148066,78483,69583
경기도,여주시,112639,57300,55339
경기도,연천군,42625,22394,20231
경기도,가평군,62306,32135,30171
경기도,양평군,122355,61515,60840
강원도,소계,1539064,774405,764659
강원도,춘천시,285907,141081,144826
강원도,원주시,359596,178256,181340
강원도,강릉시,212277,105308,106969
강원도,동해시,89574,45553,44021
강원도,태백시,40085,20259,19826
강원도,속초시,82848,41100,41748
강원도,삼척시,64165,32450,31715
강원도,홍천군,67884,34908,32976
강원도,횡성군,46546,23903,22643
강원도,영월군,37934,19657,18277
강원도,평창군,41150,21222,19928
강원도,정선군,35334,18449,16885
강원도,철원군,42789,22160,20629
강원도,화천군,23961,12948,11013
강원도,양구군,21607,11327,10280
강원도,인제군,32177,17493,14684
강원도,고성군,27331,14098,13233
강원도,양양군,27899,14233,13666
충청북도,소계,1597118,811127,785991
충청북도,청주시,849003,428367,420636
충청북도,서원구,192503,95800,96703
충청북도,청원구,194281,99952,94329
충청북도,상당구,194043,96384,97659
충청북도,흥덕구,268176,136231,131945
충청북도,충주시,208728,105727,103001
충청북도,제천시,131969,66343,65626
충청북도,보은군,31798,16034,15764
충청북도,옥천군,49914,25187,24727
충청북도,영동군,45345,22615,22730
충청북도,증평군,37024,19237,17787
충청북도,진천군,85817,45233,40584
충청북도,괴산군,37262,19216,18046
충청북도,음성군,92240,48951,43289
충청북도,단양군,28018,14217,13801
충청남도,소계,2120201,1084712,1035489
충청남도,당진시,167092,88951,78141
충청남도,천안시,657214,336296,320918
충청남도,동남구,255635,129670,125965
충청남도,서북구,401579,206626,194953
충청남도,공주시,102997,51451,51546
충청남도,보령시,97779,49557,48222
충청남도,아산시,330516,172160,158356
충청남도,서산시,176416,92007,84409
충청남도,논산시,113552,56684,56868
충청남도,계룡시,43547,21717,21830
충청남도,금산군,50211,25356,24855
충청남도,부여군,63129,31353,31776
충청남도,서천군,50411,24891,25520
충청남도,청양군,30442,15489,14953
충청남도,홍성군,98767,49248,49519
충청남도,예산군,76647,38493,38154
충청남도,태안군,61481,31059,30422
전라북도,소계,1778279,884908,893371
전라북도,전주시,654521,321819,332702
전라북도,완산구,334166,162605,171561
전라북도,덕진구,320355,159214,161141
전라북도,전주시효자출장소,0,0,0
전라북도,군산시,263897,133558,130339
전라북도,익산시,276140,137561,138579
전라북도,익산시함열출장소,0,0,0
전라북도,정읍시,105812,52652,53160
전라북도,남원시,78781,38672,40109
전라북도,김제시,80861,40187,40674
전라북도,완주군,91134,46874,44260
전라북도,진안군,24898,12654,12244
전라북도,무주군,23711,11843,11868
전라북도,장수군,21580,10784,10796
전라북도,임실군,26678,13662,13016
전라북도,순창군,26799,13160,13639
전라북도,고창군,52981,26335,26646
전라북도,부안군,50486,25147,25339
전라남도,소계,1826440,919417,907023
전라남도,목포시,217604,108210,109394
전라남도,여수시,275544,140332,135212
전라남도,순천시,280195,139846,140349
전라남도,나주시,116284,58689,57595
전라남도,광양시,151669,79226,72443
전라남도,담양군,46159,23344,22815
전라남도,곡성군,27396,13512,13884
전라남도,구례군,25011,12194,12817
전라남도,고흥군,62442,30442,32000
전라남도,보성군,39031,19057,19974
전라남도,화순군,62402,30839,31563
전라남도,장흥군,36147,17620,18527
전라남도,강진군,33428,16228,17200
전라남도,해남군,66629,33115,33514
전라남도,영암군,53052,27603,25449
전라남도,무안군,91078,45856,45222
전라남도,함평군,31000,15613,15387
전라남도,영광군,52127,26030,26097
전라남도,장성군,43182,22155,21027
전라남도,완도군,48079,24222,23857
전라남도,진도군,29816,14802,15014
전라남도,신안군,38165,20482,17683
경상북도,소계,2613963,1318198,1295765
경상북도,포항시,499854,253278,246576
경상북도,남구,229100,118654,110446
경상북도,북구,270754,134624,136130
경상북도,경주시,250857,125551,125306
경상북도,김천시,139906,70224,69682
경상북도,안동시,155904,77067,78837
경상북도,구미시,409555,210608,198947
경상북도,영주시,101370,50292,51078
경상북도,영천시,101285,51481,49804
경상북도,상주시,95490,46949,48541
경상북도,문경시,72065,35326,36739
경상북도,경산시,267423,134526,132897
경상북도,군위군,23405,11973,11432
경상북도,의성군,50554,24851,25703
경상북도,청송군,24486,12267,12219
경상북도,영양군,16218,8099,8119
경상북도,영덕군,35034,16664,18370
경상북도,청도군,41654,20563,21091
경상북도,고령군,30377,15596,14781
경상북도,성주군,42861,22280,20581
경상북도,칠곡군,113184,59060,54124
경상북도,예천군,55572,27316,28256
경상북도,봉화군,30478,15429,15049
경상북도,울진군,47349,23805,23544
경상북도,울릉군,9082,4993,4089
경상남도,소계,3295615,1659245,1636370
경상남도,창원시,1026749,520087,506662
경상남도,의창구,216485,110277,106208
경상남도,성산구,250029,127499,122530
경상남도,마산합포구,180790,89888,90902
경상남도,마산회원구,185044,92555,92489
경상남도,진해구,194401,99868,94533
경상남도,진주시,345303,170623,174680
경상남도,통영시,124115,62275,61840
경상남도,사천시,109520,55235,54285
경상남도,사천남양출장소,0,0,0
경상남도,김해시,536175,271226,264949
경상남도,장유출장소,0,0,0
경상남도,밀양시,103183,50706,52477
경상남도,거제시,238423,124748,113675
경상남도,양산시,353886,177290,176596
경상남도,양산시웅상출장소,0,0,0
경상남도,의령군,26330,13000,13330
경상남도,함안군,61989,31631,30358
경상남도,창녕군,59424,29660,29764
경상남도,고성군,49987,25105,24882
경상남도,남해군,42071,20423,21648
경상남도,하동군,42975,21496,21479
경상남도,산청군,34194,16900,17294
경상남도,함양군,38189,18473,19716
경상남도,거창군,60600,29768,30832
경상남도,합천군,42502,20599,21903
제주특별자치도,소계,678012,339697,338315
제주특별자치도,제주시,493538,246672,246866
제주특별자치도,서귀포시,184474,93025,91449
